resolution_timestamp,prediction_timestamp,strategy,subtype,market_id,question,end_date,decision,precio_yes_mercado,prob_yes_modelo,edge_neto,edge_direccional,outcome_real,acierto,pnl_bruto,pnl_neto
2026-06-24T05:50:17+00:00,2026-06-24T05:43:55+00:00,UPDOWN_GBM,BTC#5min,2649230,"Bitcoin Up or Down - June 24, 1:45AM-1:50AM ET",2026-06-24T05:50:00,BUY_NO,0.4950,0.4239,-0.0511,0.0511,NO,1,0.8822,0.8642
2026-06-24T05:51:35+00:00,2026-06-24T05:30:20+00:00,UPDOWN_GBM,ETH#60min,2637214,"Ethereum Up or Down - June 24, 1AM ET",2026-06-24T06:00:00,BUY_NO,0.7950,0.7477,-0.0273,0.0273,YES,0,-0.9000,-0.9180
2026-06-24T05:51:35+00:00,2026-06-24T05:43:55+00:00,UPDOWN_GBM,SOL#5min,2649239,"Solana Up or Down - June 24, 1:45AM-1:50AM ET",2026-06-24T05:50:00,BUY_NO,0.4950,0.3848,-0.0902,0.0902,NO,1,0.8822,0.8642
2026-06-24T05:57:51+00:00,2026-06-24T05:30:20+00:00,UPDOWN_GBM,BTC#60min,2637205,"Bitcoin Up or Down - June 24, 1AM ET",2026-06-24T06:00:00,BUY_YES,0.7750,0.8462,0.0512,0.0512,YES,1,0.2613,0.2433
2026-06-24T06:00:20+00:00,2026-06-24T05:38:59+00:00,UPDOWN_GBM,SOL#15min,2649231,"Solana Up or Down - June 24, 1:45AM-2:00AM ET",2026-06-24T06:00:00,BUY_YES,0.5050,0.8610,0.3360,0.3360,NO,0,-0.9000,-0.9180
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,SOL#5min,2649260,"Solana Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.0819,-0.3931,0.3931,YES,0,-0.9000,-0.9180
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,ETH#5min,2649261,"Ethereum Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.3573,-0.1177,0.1177,YES,0,-0.9000,-0.9180
2026-06-24T06:01:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,BTC#5min,2649256,"Bitcoin Up or Down - June 24, 1:55AM-2:00AM ET",2026-06-24T06:00:00,BUY_NO,0.4950,0.4102,-0.0648,0.0648,YES,0,-0.9000,-0.9180
2026-06-24T06:06:38+00:00,2026-06-24T06:01:28+00:00,UPDOWN_GBM,BTC#5min,2649272,"Bitcoin Up or Down - June 24, 2:00AM-2:05AM ET",2026-06-24T06:05:00,BUY_NO,0.2450,0.0500,-0.1750,0.1750,NO,1,0.2921,0.2741
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,SOL#5min,2649283,"Solana Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.4950,0.0799,-0.3951,0.3951,YES,0,-0.9000,-0.9180
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,ETH#5min,2649279,"Ethereum Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.5150,0.4101,-0.0849,0.0849,YES,0,-0.9000,-0.9180
2026-06-24T06:11:35+00:00,2026-06-24T06:03:57+00:00,UPDOWN_GBM,DOGE#5min,2649280,"Dogecoin Up or Down - June 24, 2:05AM-2:10AM ET",2026-06-24T06:10:00,BUY_NO,0.5000,0.2011,-0.2789,0.2789,YES,0,-0.9000,-0.9180
2026-06-24T06:16:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,ETH#15min,2649266,"Ethereum Up or Down - June 24, 2:00AM-2:15AM ET",2026-06-24T06:15:00,BUY_NO,0.4850,0.4004,-0.0646,0.0646,NO,1,0.8476,0.8296
2026-06-24T06:16:39+00:00,2026-06-24T05:53:54+00:00,UPDOWN_GBM,BTC#15min,2649273,"Bitcoin Up or Down - June 24, 2:00AM-2:15AM ET",2026-06-24T06:15:00,BUY_NO,0.4850,0.4367,-0.0283,0.0283,NO,1,0.8476,0.8296
2026-06-24T06:16:39+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,ETH#5min,2649292,"Ethereum Up or Down - June 24, 2:10AM-2:15AM ET",2026-06-24T06:15:00,BUY_YES,0.4950,0.8332,0.3182,0.3182,NO,0,-0.9000,-0.9180
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,SOL#5min,2649300,"Solana Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.4950,0.3027,-0.1723,0.1723,NO,1,0.8822,0.8642
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,ETH#5min,2649298,"Ethereum Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.5050,0.3499,-0.1351,0.1351,NO,1,0.9182,0.9002
2026-06-24T06:21:40+00:00,2026-06-24T06:13:58+00:00,UPDOWN_GBM,BTC#5min,2649304,"Bitcoin Up or Down - June 24, 2:15AM-2:20AM ET",2026-06-24T06:20:00,BUY_NO,0.4950,0.3285,-0.1465,0.1465,NO,1,0.8822,0.8642
2026-06-24T06:28:02+00:00,2026-06-24T06:19:01+00:00,UPDOWN_GBM,BTC#5min,2649312,"Bitcoin Up or Down - June 24, 2:20AM-2:25AM ET",2026-06-24T06:25:00,BUY_NO,0.4950,0.4376,-0.0374,0.0374,YES,0,-0.9000,-0.9180
2026-06-24T06:30:33+00:00,2026-06-24T06:15:13+00:00,UPDOWN_GBM,BNB#15min,2649303,"BNB Up or Down - June 24, 2:15AM-2:30AM ET",2026-06-24T06:30:00,BUY_NO,0.4750,0.4323,-0.0227,0.0227,NO,1,0.8143,0.7963
2026-06-24T06:31:50+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,ETH#15min,2649306,"Ethereum Up or Down - June 24, 2:15AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.6883,0.1733,0.1733,YES,1,0.9182,0.9002
2026-06-24T06:31:50+00:00,2026-06-24T06:08:57+00:00,UPDOWN_GBM,BTC#15min,2649297,"Bitcoin Up or Down - June 24, 2:15AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.6500,0.1350,0.1350,YES,1,0.9182,0.9002
2026-06-24T06:31:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,SOL#5min,2649319,"Solana Up or Down - June 24, 2:25AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.9500,0.4350,0.4350,NO,0,-0.9000,-0.9180
2026-06-24T06:31:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,ETH#5min,2649316,"Ethereum Up or Down - June 24, 2:25AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.5050,0.7968,0.2718,0.2718,YES,1,0.8822,0.8642
2026-06-24T06:31:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,BTC#5min,2649320,"Bitcoin Up or Down - June 24, 2:25AM-2:30AM ET",2026-06-24T06:30:00,BUY_YES,0.4950,0.8456,0.3306,0.3306,YES,1,0.9182,0.9002
2026-06-24T06:31:50+00:00,2026-06-24T06:25:19+00:00,UPDOWN_GBM,DOGE#5min,2649317,"Dogecoin Up or Down - June 24, 2:25AM-2:30AM ET",2026-06-24T06:30:00,BUY_NO,0.5150,0.1293,-0.3657,0.3657,NO,1,0.9557,0.9377
2026-06-24T06:36:53+00:00,2026-06-24T06:29:08+00:00,UPDOWN_GBM,SOL#5min,2649322,"Solana Up or Down - June 24, 2:30AM-2:35AM ET",2026-06-24T06:35:00,BUY_NO,0.4950,0.0500,-0.4250,0.4250,YES,0,-0.9000,-0.9180
2026-06-24T06:36:53+00:00,2026-06-24T06:29:08+00:00,UPDOWN_GBM,ETH#5min,2649323,"Ethereum Up or Down - June 24, 2:30AM-2:35AM ET",2026-06-24T06:35:00,BUY_NO,0.4750,0.0881,-0.3669,0.3669,YES,0,-0.9000,-0.9180
2026-06-24T06:36:53+00:00,2026-06-24T06:29:08+00:00,UPDOWN_GBM,BTC#5min,2649332,"Bitcoin Up or Down - June 24, 2:30AM-2:35AM ET",2026-06-24T06:35:00,BUY_NO,0.5050,0.1208,-0.3642,0.3642,NO,1,0.9182,0.9002
2026-06-24T06:40:42+00:00,2026-06-24T06:34:13+00:00,UPDOWN_GBM,BTC#5min,2649417,"Bitcoin Up or Down - June 24, 2:35AM-2:40AM ET",2026-06-24T06:40:00,BUY_NO,0.4850,0.4216,-0.0434,0.0434,YES,0,-0.9000,-0.9180
2026-06-24T06:41:58+00:00,2026-06-24T06:34:13+00:00,UPDOWN_GBM,SOL#5min,2649421,"Solana Up or Down - June 24, 2:35AM-2:40AM ET",2026-06-24T06:40:00,BUY_NO,0.4950,0.2446,-0.2304,0.2304,NO,1,0.8822,0.8642
2026-06-24T06:41:58+00:00,2026-06-24T06:34:13+00:00,UPDOWN_GBM,ETH#5min,2649415,"Ethereum Up or Down - June 24, 2:35AM-2:40AM ET",2026-06-24T06:40:00,BUY_YES,0.4750,0.5715,0.0765,0.0765,YES,1,0.9947,0.9767
2026-06-24T06:44:34+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649331,"Solana Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.5050,0.8139,0.2889,0.2889,NO,0,-0.9000,-0.9180
2026-06-24T06:45:50+00:00,2026-06-24T06:24:03+00:00,UPDOWN_GBM,,2649327,"Ethereum Up or Down - June 24, 2:30AM-2:45AM ET",2026-06-24T06:45:00,BUY_YES,0.4950,0.6263,0.1113,0.1113,NO,0,-0.9000,-0.9180
2026-06-24T07:15:15+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,XRP#15min,2649494,"XRP Up or Down - June 24, 3:00AM-3:15AM ET",2026-06-24T07:15:00,BUY_NO,0.5200,0.4597,-0.0403,0.0403,NO,1,0.9750,0.9570
2026-06-24T07:16:33+00:00,2026-06-24T06:54:29+00:00,UPDOWN_GBM,ETH#15min,2649503,"Ethereum Up or Down - June 24, 3:00AM-3:15AM ET",2026-06-24T07:15:00,BUY_YES,0.5050,0.6477,0.1227,0.1227,YES,1,0.8822,0.8642
2026-06-24T07:16:33+00:00,2026-06-24T06:54:29+00:00,UPDOWN_GBM,BTC#15min,2649496,"Bitcoin Up or Down - June 24, 3:00AM-3:15AM ET",2026-06-24T07:15:00,BUY_YES,0.5050,0.5530,0.0280,0.0280,YES,1,0.8822,0.8642
2026-06-24T07:27:02+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,ETH#15min,2649528,"Ethereum Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4950,0.6695,0.1545,0.1545,NO,0,-0.9000,-0.9180
2026-06-24T07:27:02+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649537,"Ethereum Up or Down - June 24, 3:20AM-3:25AM ET",2026-06-24T07:25:00,BUY_YES,0.5050,0.6050,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:27:02+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649538,"Bitcoin Up or Down - June 24, 3:20AM-3:25AM ET",2026-06-24T07:25:00,BUY_YES,0.5050,0.6050,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:30:59+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,SOL#15min,2649525,"Solana Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_NO,0.5050,0.3958,-0.0892,0.0892,NO,1,0.9182,0.9002
2026-06-24T07:30:59+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649525,"Solana Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4150,0.5150,0.0800,0.0800,NO,0,-0.9000,-0.9180
2026-06-24T07:32:18+00:00,2026-06-24T07:09:48+00:00,UPDOWN_GBM,BTC#15min,2649529,"Bitcoin Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.5050,0.6783,0.1533,0.1533,NO,0,-0.9000,-0.9180
2026-06-24T07:32:18+00:00,2026-06-24T07:21:34+00:00,SMART_FLOW_1H,,2649529,"Bitcoin Up or Down - June 24, 3:15AM-3:30AM ET",2026-06-24T07:30:00,BUY_YES,0.4350,0.5350,0.0800,0.0800,NO,0,-0.9000,-0.9180
