fecha,address,categoria,pnl_dia,n_cierres
2026-09-13,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,5833.5776,237
2026-09-13,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,1503.3269,61
2026-09-13,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,53.1791,48
2026-09-13,0x9c6c85323Ae3E695bA36D17c86f3ec2242cF712A,otros,415.9019,20
2026-09-13,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-259.7969,14
2026-09-13,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-11.379,21
2026-09-13,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,-24.3789,15
2026-09-13,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-97.1268,4
2026-09-13,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,229.3764,156
2026-09-13,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,1965.1599,150
2026-09-13,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-0.1666,1
2026-09-13,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-61.7275,2
2026-09-14,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-343.8928,496
2026-09-14,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-2756.9971,96
2026-09-14,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,memecoins,174.099,107
2026-09-14,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,2466.5359,1346
2026-09-14,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,899.342,786
2026-09-14,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,39.4882,117
2026-09-14,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,642.3089,338
2026-09-14,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,231.7889,432
2026-09-14,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,880.413,304
2026-09-14,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,985.2925,249
2026-09-14,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,-46.8477,63
2026-09-14,0x4A2479F81FC411ade23a50e2425786C248346936,otros,487.3778,28
2026-09-14,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-9147.7998,320
2026-09-14,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,2694.4701,423
2026-09-14,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,2.2897,220
2026-09-14,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,4402.0522,5
2026-09-14,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,memecoins,173.271,127
2026-09-14,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,97.7931,6
2026-09-14,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-150.7414,56
2026-09-14,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,metales_petroleo,29.7423,5
2026-09-14,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-74.7387,10
2026-09-14,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-388.7976,211
2026-09-14,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,28.1885,8
2026-09-14,0xD285Df4Ae3ED22E53308EbA5371c4D1C4849706b,otros,944.4271,265
2026-09-14,0xD285Df4Ae3ED22E53308EbA5371c4D1C4849706b,memecoins,-28.2106,7
2026-09-14,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-1.3309,1
