ts_deteccion_utc,market_id,activo,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio_no,profundidad_ask_no
2026-08-07T11:01:55+00:00,3378583,DOGE,115.2,184.8,0.44,0.0,0.6
2026-08-07T11:05:02+00:00,3378594,XRP,2.01,298.0,0.43,15.0,0.58
2026-08-07T11:07:06+00:00,3378589,DOGE,126.16,173.8,0.43,5.9,0.56
2026-08-07T11:10:56+00:00,3378627,DOGE,56.04,244.0,0.45,6.5,0.56
2026-08-07T11:11:04+00:00,3378626,XRP,64.4,235.6,0.45,2.7,0.57
2026-08-07T11:15:59+00:00,3378629,DOGE,59.79,240.2,0.38,0.0,0.73
2026-08-07T11:16:02+00:00,3378634,XRP,62.78,237.2,0.43,9.9,0.58
2026-08-07T11:20:02+00:00,3378653,XRP,2.07,297.9,0.38,0.0,0.66
2026-08-07T11:20:02+00:00,3378654,DOGE,2.07,297.9,0.38,0.0,0.76
2026-08-07T11:25:05+00:00,3378663,XRP,5.37,294.6,0.43,5.6,0.58
2026-08-07T11:25:23+00:00,3378668,DOGE,23.77,276.2,0.42,0.0,0.68
2026-08-07T11:30:08+00:00,3378685,DOGE,7.98,292.0,0.41,0.0,0.76
2026-08-07T11:30:08+00:00,3378684,XRP,8.22,291.8,0.35,3.1,0.66
2026-08-07T11:35:04+00:00,3378735,DOGE,4.3,295.7,0.43,0.0,0.73
2026-08-07T11:35:25+00:00,3378739,XRP,25.6,274.4,0.35,19.1,0.66
2026-08-07T11:40:48+00:00,3378748,DOGE,47.99,252.0,0.33,0.0,0.71
2026-08-07T11:40:48+00:00,3378744,XRP,48.64,251.4,0.39,24.6,0.62
2026-08-07T11:45:02+00:00,3378764,DOGE,2.01,298.0,0.45,0.0,0.71
2026-08-07T11:50:12+00:00,3378769,XRP,12.56,287.4,0.45,11.3,0.56
2026-08-07T11:52:05+00:00,3378774,DOGE,125.78,174.2,0.23,0.0,0.83
2026-08-07T12:00:05+00:00,3378901,XRP,5.03,295.0,0.45,3.3,0.57
2026-08-07T12:00:17+00:00,3378921,DOGE,17.59,282.4,0.35,0.0,0.71
2026-08-07T12:05:16+00:00,3378928,XRP,16.29,283.7,0.38,2.0,0.63
2026-08-07T12:15:20+00:00,3379095,DOGE,20.27,279.7,0.43,0.0,0.65
2026-08-07T12:16:55+00:00,3379097,XRP,115.27,184.7,0.39,9.0,0.62
2026-08-07T12:20:05+00:00,3379110,XRP,5.37,294.6,0.42,0.0,0.61
2026-08-07T12:20:14+00:00,3379112,DOGE,14.31,285.7,0.44,0.0,0.65
2026-08-07T12:25:04+00:00,3379130,DOGE,4.69,295.3,0.4,0.0,0.7
2026-08-07T12:25:06+00:00,3379134,XRP,6.86,293.1,0.45,9.1,0.56
2026-08-07T12:33:17+00:00,3379147,XRP,197.05,102.9,0.27,0.0,0.83
2026-08-07T12:33:45+00:00,3379140,DOGE,225.12,74.9,0.43,0.0,0.79
2026-08-07T12:35:02+00:00,3379191,DOGE,2.03,298.0,0.35,0.0,0.69
2026-08-07T12:35:04+00:00,3379190,XRP,4.39,295.6,0.4,1.8,0.61
2026-08-07T12:40:12+00:00,3379395,XRP,12.14,287.9,0.44,10.5,0.57
2026-08-07T12:49:10+00:00,3379416,DOGE,250.47,49.5,0.41,0.0,0.69
2026-08-07T12:52:11+00:00,3379426,DOGE,131.22,168.8,0.4,3.0,0.63
2026-08-07T12:55:29+00:00,3379582,DOGE,29.32,270.7,0.43,0.0,0.61
2026-08-07T12:55:44+00:00,3379583,XRP,44.39,255.6,0.41,34.8,0.6
2026-08-07T13:00:40+00:00,3379597,DOGE,40.45,259.6,0.45,0.0,0.59
2026-08-07T13:00:41+00:00,3379602,XRP,41.65,258.4,0.4,41.2,0.62
2026-08-07T13:05:32+00:00,3379613,DOGE,32.75,267.3,0.44,3.3,0.58
2026-08-07T13:05:36+00:00,3379608,XRP,36.15,263.8,0.45,11.8,0.56
2026-08-07T13:12:39+00:00,3379732,XRP,159.51,140.5,0.45,6.0,0.57
2026-08-07T13:13:09+00:00,3379736,DOGE,189.29,110.7,0.45,0.0,0.58
2026-08-07T13:15:31+00:00,3379741,DOGE,31.2,268.8,0.43,0.0,0.61
2026-08-07T13:23:04+00:00,3379766,XRP,184.68,115.3,0.21,88.2,0.8
2026-08-07T13:23:10+00:00,3379769,DOGE,190.09,109.9,0.45,0.0,0.6
2026-08-07T13:25:02+00:00,3379771,XRP,2.02,298.0,0.29,24.8,0.73
2026-08-07T13:25:02+00:00,3379776,DOGE,2.01,298.0,0.31,0.0,0.75
2026-08-07T13:30:08+00:00,3379809,DOGE,8.38,291.6,0.42,3.4,0.6
2026-08-07T13:30:22+00:00,3379802,XRP,22.29,277.7,0.36,17.3,0.65
2026-08-07T13:35:02+00:00,3379868,XRP,2.03,298.0,0.45,36.2,0.57
2026-08-07T13:35:30+00:00,3379869,DOGE,30.77,269.2,0.45,0.0,0.58
2026-08-07T13:40:32+00:00,3379942,XRP,32.49,267.5,0.4,34.5,0.61
2026-08-07T13:40:32+00:00,3379941,DOGE,32.53,267.5,0.41,3.5,0.61
2026-08-07T13:45:31+00:00,3379948,XRP,31.65,268.4,0.41,30.7,0.6
2026-08-07T13:45:32+00:00,3379959,DOGE,32.56,267.4,0.38,0.0,0.68
2026-08-07T13:50:03+00:00,3379967,DOGE,3.45,296.5,0.43,3.4,0.59
2026-08-07T13:51:32+00:00,3379966,XRP,92.47,207.5,0.45,6.3,0.56
2026-08-07T13:55:31+00:00,3379979,XRP,31.71,268.3,0.42,0.0,0.62
2026-08-07T13:55:46+00:00,3379983,DOGE,45.93,254.1,0.45,3.3,0.57
2026-08-07T14:00:05+00:00,3379995,XRP,5.04,295.0,0.41,8.0,0.6
2026-08-07T14:01:49+00:00,3379992,DOGE,109.02,191.0,0.34,32.0,0.67
2026-08-07T14:05:03+00:00,3380006,XRP,3.23,296.8,0.45,121.7,0.56
2026-08-07T14:05:03+00:00,3380011,DOGE,3.25,296.7,0.44,2.8,0.58
2026-08-07T14:10:35+00:00,3380125,XRP,35.24,264.8,0.4,0.0,0.65
2026-08-07T14:10:47+00:00,3380132,DOGE,47.34,252.7,0.3,0.0,0.74
2026-08-07T14:15:02+00:00,3380147,DOGE,2.01,298.0,0.45,0.0,0.58
2026-08-07T14:15:02+00:00,3380143,XRP,2.01,298.0,0.41,0.0,0.7
2026-08-07T14:30:20+00:00,3380181,DOGE,20.7,279.3,0.43,34.8,0.58
2026-08-07T14:35:24+00:00,3380234,DOGE,24.23,275.8,0.45,0.0,0.58
2026-08-07T14:35:48+00:00,3380233,XRP,48.2,251.8,0.36,5.2,0.65
2026-08-07T14:40:02+00:00,3380266,DOGE,2.01,298.0,0.38,0.0,0.7
2026-08-07T14:40:04+00:00,3380263,XRP,4.51,295.5,0.44,0.0,0.6
2026-08-07T14:45:04+00:00,3380310,DOGE,4.26,295.7,0.38,0.0,0.74
2026-08-07T14:45:04+00:00,3380305,XRP,4.62,295.4,0.44,7.3,0.57
2026-08-07T14:51:09+00:00,3380332,XRP,69.25,230.7,0.42,32.3,0.59
2026-08-07T14:51:15+00:00,3380331,DOGE,75.02,225.0,0.44,30.9,0.58
2026-08-07T14:55:24+00:00,3380508,DOGE,24.43,275.6,0.44,2.7,0.57
2026-08-07T14:55:26+00:00,3380504,XRP,26.41,273.6,0.44,39.8,0.57
2026-08-07T15:00:09+00:00,3380534,XRP,9.39,290.6,0.43,67.6,0.58
2026-08-07T15:01:14+00:00,3380528,DOGE,74.87,225.1,0.44,58.1,0.57
2026-08-07T15:05:02+00:00,3380548,XRP,2.01,298.0,0.42,21.7,0.59
2026-08-07T15:05:04+00:00,3380550,DOGE,4.28,295.7,0.41,0.0,0.66
2026-08-07T15:11:12+00:00,3380644,XRP,72.69,227.3,0.45,59.1,0.56
2026-08-07T15:11:13+00:00,3380646,DOGE,73.37,226.6,0.4,88.6,0.61
2026-08-07T15:15:15+00:00,3380660,DOGE,15.79,284.2,0.41,29.0,0.61
2026-08-07T15:15:17+00:00,3380665,XRP,17.86,282.1,0.45,38.2,0.56
2026-08-07T15:21:33+00:00,3380686,DOGE,93.23,206.8,0.42,0.0,0.63
2026-08-07T15:21:35+00:00,3380689,XRP,95.38,204.6,0.45,0.0,0.58
2026-08-07T15:25:07+00:00,3380709,XRP,7.01,293.0,0.41,62.5,0.6
2026-08-07T15:25:08+00:00,3380711,DOGE,8.14,291.9,0.43,31.5,0.59
2026-08-07T15:30:48+00:00,3380802,XRP,48.41,251.6,0.44,46.2,0.57
2026-08-07T15:35:19+00:00,3380881,XRP,19.53,280.5,0.39,13.2,0.63
2026-08-07T15:35:20+00:00,3380877,DOGE,20.6,279.4,0.42,0.0,0.61
2026-08-07T15:41:02+00:00,3380971,XRP,62.16,237.8,0.45,44.9,0.56
2026-08-07T15:45:07+00:00,3380985,XRP,7.61,292.4,0.45,9.0,0.56
2026-08-07T15:45:10+00:00,3380997,DOGE,10.52,289.5,0.43,28.1,0.59
2026-08-07T15:51:29+00:00,3381011,DOGE,89.73,210.3,0.35,95.7,0.66
2026-08-07T15:51:58+00:00,3381004,XRP,118.14,181.9,0.45,3.3,0.57
2026-08-07T15:55:23+00:00,3382746,XRP,22.97,277.0,0.45,12.6,0.56
2026-08-07T15:57:41+00:00,3382743,DOGE,160.85,139.2,0.38,0.0,0.75
2026-08-07T16:01:55+00:00,3382798,XRP,115.54,184.5,0.37,60.5,0.64
2026-08-07T16:10:09+00:00,3383377,XRP,9.9,290.1,0.44,9.5,0.57
2026-08-07T16:10:53+00:00,3383376,DOGE,53.93,246.1,0.35,39.4,0.66
2026-08-07T16:15:02+00:00,3383626,XRP,2.07,297.9,0.38,45.0,0.63
2026-08-07T16:15:03+00:00,3383630,DOGE,3.2,296.8,0.42,0.0,0.63
2026-08-07T16:21:45+00:00,3383663,DOGE,105.28,194.7,0.37,0.0,0.67
2026-08-07T16:22:33+00:00,3383658,XRP,153.01,147.0,0.4,12.9,0.61
2026-08-07T16:25:05+00:00,3385050,XRP,5.34,294.7,0.45,34.9,0.56
2026-08-07T16:25:46+00:00,3385049,DOGE,46.66,253.3,0.43,28.1,0.59
2026-08-07T16:30:10+00:00,3385062,DOGE,10.48,289.5,0.44,61.3,0.57
2026-08-07T16:30:10+00:00,3385061,XRP,10.51,289.5,0.45,53.8,0.56
2026-08-07T16:35:27+00:00,3385114,XRP,27.29,272.7,0.45,58.8,0.56
2026-08-07T16:40:38+00:00,3385156,DOGE,38.55,261.4,0.44,0.0,0.59
2026-08-07T16:41:05+00:00,3385160,XRP,65.74,234.3,0.45,66.7,0.56
2026-08-07T16:45:11+00:00,3385170,XRP,10.94,289.1,0.41,3.1,0.6
2026-08-07T16:46:05+00:00,3385175,DOGE,65.26,234.7,0.22,0.0,0.84
2026-08-07T16:51:26+00:00,3385186,DOGE,86.49,213.5,0.45,0.0,0.58
2026-08-07T16:51:44+00:00,3385188,XRP,104.87,195.1,0.45,6.8,0.56
2026-08-07T16:55:02+00:00,3385845,DOGE,2.0,298.0,0.38,0.0,0.71
2026-08-07T16:55:14+00:00,3385844,XRP,14.68,285.3,0.4,14.2,0.62
2026-08-07T17:00:02+00:00,3385982,XRP,2.01,298.0,0.26,12.3,0.75
2026-08-07T17:00:02+00:00,3385992,DOGE,2.02,298.0,0.39,0.0,0.74
2026-08-07T17:05:02+00:00,3385995,XRP,2.16,297.8,0.42,0.0,0.62
2026-08-07T17:05:12+00:00,3386002,DOGE,12.07,287.9,0.43,0.0,0.6
2026-08-07T17:10:19+00:00,3386129,DOGE,19.37,280.6,0.43,0.0,0.6
2026-08-07T17:10:20+00:00,3386127,XRP,20.37,279.6,0.45,80.1,0.56
2026-08-07T17:15:04+00:00,3386147,XRP,4.87,295.1,0.4,27.9,0.61
2026-08-07T17:15:05+00:00,3386141,DOGE,5.68,294.3,0.38,0.0,0.73
2026-08-07T17:20:07+00:00,3386169,XRP,7.78,292.2,0.35,1.8,0.68
2026-08-07T17:20:09+00:00,3386165,DOGE,8.95,291.1,0.45,33.1,0.56
2026-08-07T17:25:02+00:00,3386256,XRP,2.0,298.0,0.44,23.8,0.57
2026-08-07T17:25:04+00:00,3386259,DOGE,4.74,295.3,0.36,7.6,0.66
2026-08-07T17:30:02+00:00,3386281,XRP,2.01,298.0,0.44,11.2,0.57
2026-08-07T17:30:41+00:00,3386273,DOGE,41.56,258.4,0.45,57.1,0.56
2026-08-07T17:35:03+00:00,3386322,XRP,3.57,296.4,0.33,20.5,0.68
2026-08-07T17:35:03+00:00,3386323,DOGE,3.64,296.4,0.39,0.0,0.76
2026-08-07T17:40:46+00:00,3386335,XRP,46.75,253.2,0.45,0.0,0.64
2026-08-07T17:40:50+00:00,3386336,DOGE,50.72,249.3,0.45,0.0,0.6
2026-08-07T17:45:14+00:00,3386355,XRP,14.65,285.4,0.39,50.4,0.62
2026-08-07T17:47:01+00:00,3386345,DOGE,121.07,178.9,0.44,0.0,0.62
2026-08-07T17:50:02+00:00,3386377,XRP,2.08,297.9,0.43,6.1,0.58
2026-08-07T17:50:09+00:00,3386375,DOGE,8.99,291.0,0.44,37.0,0.57
2026-08-07T17:55:48+00:00,3386424,XRP,47.98,252.0,0.45,33.8,0.56
2026-08-07T18:05:12+00:00,3386512,DOGE,12.13,287.9,0.44,60.8,0.57
2026-08-07T18:05:18+00:00,3386511,XRP,18.76,281.2,0.45,9.0,0.56
2026-08-07T18:15:19+00:00,3386886,XRP,19.38,280.6,0.44,6.1,0.58
2026-08-07T18:15:46+00:00,3386883,DOGE,46.05,253.9,0.35,0.0,0.77
2026-08-07T18:20:11+00:00,3386891,DOGE,11.59,288.4,0.45,38.0,0.56
2026-08-07T18:21:13+00:00,3386895,XRP,73.42,226.6,0.44,1.1,0.58
2026-08-07T18:25:02+00:00,3387335,XRP,2.13,297.9,0.43,2.8,0.58
2026-08-07T18:25:12+00:00,3387332,DOGE,12.26,287.7,0.45,9.2,0.56
2026-08-07T18:30:02+00:00,3387788,XRP,2.06,297.9,0.45,46.1,0.56
2026-08-07T18:30:06+00:00,3387798,DOGE,6.79,293.2,0.43,2.8,0.58
2026-08-07T18:35:02+00:00,3387840,XRP,2.02,298.0,0.43,7.5,0.58
2026-08-07T18:35:08+00:00,3387844,DOGE,8.21,291.8,0.43,37.5,0.58
2026-08-07T18:40:31+00:00,3387856,XRP,31.41,268.6,0.32,52.8,0.69
2026-08-07T18:40:42+00:00,3387857,DOGE,42.02,258.0,0.34,0.0,0.78
2026-08-07T18:46:37+00:00,3387873,XRP,97.74,202.3,0.32,5.7,0.71
2026-08-07T18:52:06+00:00,3387901,XRP,126.47,173.5,0.43,2.8,0.58
2026-08-07T18:52:06+00:00,3387900,DOGE,126.55,173.5,0.38,0.0,0.66
2026-08-07T19:05:02+00:00,3388084,XRP,2.0,298.0,0.43,10.8,0.58
2026-08-07T19:05:02+00:00,3388085,DOGE,2.02,298.0,0.45,0.0,0.58
2026-08-07T19:12:18+00:00,3388177,XRP,138.75,161.2,0.42,97.4,0.59
2026-08-07T19:16:09+00:00,3388192,XRP,69.84,230.2,0.34,38.0,0.67
2026-08-07T19:20:02+00:00,3388248,XRP,2.01,298.0,0.41,0.0,0.62
2026-08-07T19:20:22+00:00,3388250,DOGE,22.85,277.2,0.43,6.1,0.58
2026-08-07T19:25:12+00:00,3388340,DOGE,12.11,287.9,0.4,91.5,0.61
2026-08-07T19:25:12+00:00,3388343,XRP,12.33,287.7,0.45,23.4,0.56
2026-08-07T19:30:13+00:00,3388368,DOGE,13.79,286.2,0.45,3.3,0.57
2026-08-07T19:36:12+00:00,3388419,XRP,72.04,228.0,0.43,22.3,0.58
2026-08-07T19:37:29+00:00,3388418,DOGE,149.61,150.4,0.32,0.0,0.81
2026-08-07T19:45:28+00:00,3388467,XRP,28.21,271.8,0.44,4.5,0.57
2026-08-07T19:50:02+00:00,3388486,XRP,2.01,298.0,0.4,29.5,0.61
2026-08-07T19:51:15+00:00,3388480,DOGE,75.67,224.3,0.32,0.0,0.82
2026-08-07T19:58:02+00:00,3388812,XRP,181.97,118.0,0.33,38.2,0.68
2026-08-07T20:00:07+00:00,3389002,DOGE,7.36,292.6,0.42,31.5,0.59
2026-08-07T20:02:28+00:00,3388992,XRP,148.19,151.8,0.4,5.8,0.61
2026-08-07T20:05:02+00:00,3389009,DOGE,2.02,298.0,0.39,0.0,0.74
2026-08-07T20:05:31+00:00,3389011,XRP,31.79,268.2,0.44,46.8,0.57
2026-08-07T20:10:06+00:00,3389519,DOGE,6.5,293.5,0.42,0.0,0.67
2026-08-07T20:10:17+00:00,3389520,XRP,17.47,282.5,0.44,15.9,0.57
2026-08-07T20:15:16+00:00,3389537,XRP,16.24,283.8,0.45,21.6,0.56
2026-08-07T20:15:40+00:00,3389540,DOGE,40.79,259.2,0.32,40.1,0.69
2026-08-07T20:20:13+00:00,3389548,DOGE,12.94,287.1,0.42,37.8,0.59
2026-08-07T20:20:32+00:00,3389546,XRP,32.07,267.9,0.45,42.8,0.56
2026-08-07T20:30:03+00:00,3389614,DOGE,3.39,296.6,0.41,0.0,0.76
2026-08-07T20:32:11+00:00,3389624,XRP,131.52,168.5,0.31,11.5,0.71
2026-08-07T20:36:04+00:00,3389664,XRP,64.52,235.5,0.37,38.8,0.64
2026-08-07T20:41:41+00:00,3389678,XRP,101.37,198.6,0.45,86.8,0.55
2026-08-07T20:41:46+00:00,3389684,DOGE,106.75,193.2,0.45,27.1,0.57
2026-08-07T20:45:11+00:00,3389720,XRP,11.9,288.1,0.31,6.7,0.7
2026-08-07T20:45:13+00:00,3389716,DOGE,13.06,286.9,0.38,0.0,0.7
2026-08-07T20:50:02+00:00,3389757,XRP,2.01,298.0,0.44,35.2,0.52
2026-08-07T20:50:21+00:00,3389752,DOGE,21.22,278.8,0.45,0.0,0.75
2026-08-07T20:56:00+00:00,3389784,XRP,60.7,239.3,0.37,28.1,0.64
2026-08-07T20:56:19+00:00,3389786,DOGE,79.2,220.8,0.43,0.0,0.62
2026-08-07T21:03:24+00:00,3389849,DOGE,204.61,95.4,0.45,0.0,0.58
2026-08-07T21:04:55+00:00,3389846,XRP,295.09,4.9,0.17,0.0,0.96
2026-08-07T21:05:16+00:00,3389880,XRP,16.3,283.7,0.41,5.8,0.6
2026-08-07T21:05:17+00:00,3389879,DOGE,17.24,282.8,0.44,12.0,0.57
2026-08-07T21:11:02+00:00,3389948,DOGE,62.41,237.6,0.36,3.8,0.67
2026-08-07T21:15:50+00:00,3389964,DOGE,50.63,249.4,0.35,0.0,0.78
2026-08-07T21:15:50+00:00,3389961,XRP,50.64,249.4,0.22,73.2,0.8
2026-08-07T21:20:05+00:00,3389976,XRP,5.04,295.0,0.44,2.8,0.58
2026-08-07T21:20:07+00:00,3389982,DOGE,7.26,292.7,0.26,3.6,0.75
2026-08-07T21:25:17+00:00,3390026,XRP,17.31,282.7,0.45,5.3,0.56
2026-08-07T21:26:43+00:00,3390029,DOGE,103.36,196.6,0.42,2.9,0.6
2026-08-07T21:30:16+00:00,3390133,XRP,16.08,283.9,0.43,0.0,0.6
2026-08-07T21:32:52+00:00,3390125,DOGE,172.72,127.3,0.45,0.0,0.6
2026-08-07T21:36:56+00:00,3390222,XRP,116.91,183.1,0.39,9.0,0.62
2026-08-07T21:37:19+00:00,3390220,DOGE,138.85,161.1,0.3,0.0,0.77
2026-08-07T21:42:01+00:00,3390440,XRP,121.71,178.3,0.41,0.0,0.62
2026-08-07T21:43:55+00:00,3390448,DOGE,235.52,64.5,0.44,0.0,0.6
2026-08-07T21:45:55+00:00,3390740,DOGE,55.46,244.5,0.45,0.0,0.59
2026-08-07T21:48:17+00:00,3390724,XRP,197.14,102.9,0.4,23.6,0.61
2026-08-07T21:50:50+00:00,3390756,DOGE,49.91,250.1,0.3,0.0,0.77
2026-08-07T21:53:37+00:00,3390752,XRP,217.59,82.4,0.35,29.3,0.66
2026-08-07T21:55:06+00:00,3390949,DOGE,6.79,293.2,0.44,0.0,0.59
2026-08-07T21:56:20+00:00,3390952,XRP,80.43,219.6,0.4,30.1,0.61
2026-08-07T22:00:04+00:00,3391001,DOGE,4.44,295.6,0.41,4.5,0.6
2026-08-07T22:00:09+00:00,3390997,XRP,9.2,290.8,0.44,5.5,0.57
2026-08-07T22:05:02+00:00,3391015,XRP,2.03,298.0,0.27,30.1,0.75
2026-08-07T22:05:03+00:00,3391017,DOGE,3.21,296.8,0.45,0.0,0.65
2026-08-07T22:14:03+00:00,3391038,XRP,243.53,56.5,0.29,19.2,0.72
2026-08-07T22:14:26+00:00,3391034,DOGE,266.26,33.7,0.34,0.0,0.88
2026-08-07T22:16:37+00:00,3391054,XRP,97.1,202.9,0.44,11.1,0.57
2026-08-07T22:18:45+00:00,3391057,DOGE,225.5,74.5,0.45,0.0,0.71
2026-08-07T22:20:05+00:00,3391068,DOGE,5.6,294.4,0.42,30.2,0.54
2026-08-07T22:20:06+00:00,3391065,XRP,6.85,293.2,0.45,11.8,0.56
2026-08-07T22:25:51+00:00,3391124,XRP,51.3,248.7,0.18,56.4,0.83
2026-08-07T22:30:22+00:00,3391133,DOGE,22.58,277.4,0.44,64.1,0.56
2026-08-07T22:30:35+00:00,3391142,XRP,35.82,264.2,0.45,32.5,0.56
2026-08-07T22:35:15+00:00,3391190,DOGE,15.29,284.7,0.4,33.6,0.61
2026-08-07T22:37:44+00:00,3391189,XRP,164.06,135.9,0.31,0.0,0.86
2026-08-07T22:41:40+00:00,3391197,XRP,100.15,199.8,0.36,24.6,0.66
2026-08-07T22:41:40+00:00,3391203,DOGE,100.73,199.3,0.27,21.7,0.76
2026-08-07T22:50:40+00:00,3391223,DOGE,40.33,259.7,0.43,0.0,0.6
2026-08-07T22:55:06+00:00,3392337,DOGE,6.45,293.6,0.44,3.3,0.58
2026-08-07T22:56:17+00:00,3392333,XRP,77.0,223.0,0.39,17.9,0.63
2026-08-07T23:12:17+00:00,3392481,XRP,137.69,162.3,0.22,22.9,0.79
2026-08-07T23:17:01+00:00,3392498,XRP,121.87,178.1,0.29,9.3,0.74
2026-08-07T23:17:01+00:00,3392496,DOGE,121.87,178.1,0.2,0.0,0.88
2026-08-07T23:20:03+00:00,3392516,XRP,3.17,296.8,0.38,0.0,0.72
2026-08-07T23:20:09+00:00,3392512,DOGE,9.24,290.8,0.4,0.0,0.75
2026-08-07T23:25:10+00:00,3392560,DOGE,10.3,289.7,0.45,0.0,0.58
2026-08-07T23:25:40+00:00,3392563,XRP,40.41,259.6,0.35,12.6,0.66
2026-08-07T23:30:20+00:00,3392577,DOGE,20.77,279.2,0.44,6.1,0.58
2026-08-07T23:30:32+00:00,3392580,XRP,32.59,267.4,0.45,11.3,0.56
2026-08-07T23:37:47+00:00,3392619,DOGE,167.94,132.1,0.44,0.0,0.86
2026-08-07T23:42:34+00:00,3392634,DOGE,154.48,145.5,0.45,30.4,0.57
2026-08-07T23:47:05+00:00,3392642,XRP,125.51,174.5,0.2,31.4,0.81
2026-08-07T23:47:06+00:00,3392650,DOGE,126.72,173.3,0.36,0.0,0.71
2026-08-07T23:50:10+00:00,3392662,XRP,10.16,289.8,0.45,26.5,0.56
2026-08-07T23:50:10+00:00,3392656,DOGE,10.41,289.6,0.44,0.0,0.62
2026-08-07T23:55:06+00:00,3392677,DOGE,6.79,293.2,0.44,0.0,0.59
2026-08-07T23:55:39+00:00,3392676,XRP,39.14,260.9,0.45,9.7,0.56
2026-08-08T00:00:02+00:00,3392701,XRP,2.05,298.0,0.25,43.0,0.76
2026-08-08T00:00:03+00:00,3392698,DOGE,3.24,296.8,0.4,0.0,0.76
2026-08-08T00:09:28+00:00,3392717,DOGE,268.03,32.0,0.45,0.0,0.9
2026-08-08T00:16:34+00:00,3392809,XRP,94.77,205.2,0.41,20.7,0.6
2026-08-08T00:17:13+00:00,3392804,DOGE,133.67,166.3,0.15,133.4,0.86
2026-08-08T00:28:02+00:00,3392885,DOGE,182.86,117.1,0.45,3.3,0.57
2026-08-08T00:32:15+00:00,3392950,DOGE,135.58,164.4,0.41,0.0,0.86
2026-08-08T00:32:16+00:00,3392946,XRP,136.59,163.4,0.29,0.0,0.75
2026-08-08T00:45:23+00:00,3393031,XRP,23.45,276.6,0.43,0.0,0.65
2026-08-08T00:46:42+00:00,3393038,DOGE,101.99,198.0,0.31,0.0,0.78
2026-08-08T00:50:07+00:00,3393102,XRP,7.66,292.3,0.44,0.0,0.67
2026-08-08T00:50:09+00:00,3393107,DOGE,9.49,290.5,0.35,0.0,0.7
2026-08-08T00:55:27+00:00,3393203,DOGE,27.02,273.0,0.44,3.3,0.58
2026-08-08T00:57:48+00:00,3393200,XRP,168.46,131.5,0.43,3.4,0.59
2026-08-08T01:00:08+00:00,3393341,DOGE,8.88,291.1,0.44,0.0,0.6
2026-08-08T01:06:24+00:00,3393354,XRP,84.28,215.7,0.45,2.0,0.57
2026-08-08T01:09:35+00:00,3393348,DOGE,274.9,25.1,0.39,0.0,0.97
2026-08-08T01:10:02+00:00,3393371,XRP,2.01,298.0,0.45,0.0,0.76
2026-08-08T01:10:03+00:00,3393369,DOGE,3.67,296.3,0.43,0.0,0.62
2026-08-08T01:15:58+00:00,3393381,XRP,58.02,242.0,0.22,24.0,0.79
2026-08-08T01:15:58+00:00,3393378,DOGE,58.09,241.9,0.37,38.9,0.65
2026-08-08T01:20:11+00:00,3393398,XRP,11.3,288.7,0.45,0.0,0.69
2026-08-08T01:21:40+00:00,3393397,DOGE,100.92,199.1,0.36,0.0,0.68
2026-08-08T01:26:15+00:00,3393470,DOGE,75.03,225.0,0.45,3.3,0.57
2026-08-08T01:28:39+00:00,3393468,XRP,219.74,80.3,0.45,12.4,0.56
2026-08-08T01:31:05+00:00,3393476,DOGE,65.13,234.9,0.44,3.3,0.58
