market_id,strategy,direction,motivo,restante_min,vol_previo_usdc,clip_max_usdc,n_trades_previos,ratio_vs_stake
2807386,GBM_LATE_15M,BUY_YES,ejecutada,4.53,8.04,2.18,6,146.2
2807466,GBM_LATE_15M,BUY_NO,ejecutada,9.07,110.93,77.42,10,125.8
2808307,GBM_LATE_15M,BUY_YES,ejecutada,11.43,39.77,9.86,9,52.7
2808311,GBM_LATE_15M,BUY_NO,ejecutada,7.32,202.05,41.0,13,173.2
2808312,GBM_LATE_15M,BUY_YES,ejecutada,7.95,6.11,3.19,3,283.9
2808344,GBM_LATE_15M,BUY_NO,veto_profundidad,11.82,313.84,149.6,15,0.0
2808348,GBM_LATE_15M,BUY_YES,ejecutada,11.8,78.9,14.48,24,102.1
2808395,GBM_LATE_15M,BUY_YES,veto_profundidad,11.85,68.86,24.74,12,0.0
2808397,GBM_LATE_15M,BUY_YES,veto_profundidad,11.85,10.9,5.0,4,0.0
2808399,GBM_LATE_15M,BUY_YES,veto_profundidad,11.85,376.52,35.5,23,0.0
2808584,GBM_LATE_15M,BUY_YES,ejecutada,11.98,329.05,65.18,32,351.9
2808587,GBM_LATE_15M,BUY_YES,ejecutada,10.53,31.81,12.38,9,92.5
2808617,GBM_LATE_15M,BUY_YES,veto_profundidad,11.2,38.94,16.28,6,0.0
2808616,GBM_LATE_15M,BUY_NO,veto_profundidad,10.42,129.21,54.0,11,0.0
2808623,GBM_LATE_15M,BUY_YES,ejecutada,3.47,402.34,75.69,70,239.4
2808649,GBM_LATE_15M,BUY_NO,ejecutada,2.63,267.66,68.5,27,59.1
2808657,GBM_LATE_15M,BUY_YES,ejecutada,11.58,15.9,8.62,6,259.0
2808658,GBM_LATE_15M,BUY_YES,veto_profundidad,10.15,20.28,7.2,6,0.0
2808700,GBM_LATE_15M,BUY_YES,ejecutada,11.5,24.4,5.9,8,46.8
2808701,GBM_LATE_15M,BUY_NO,veto_profundidad,10.42,65.26,17.67,11,0.0
2808770,GBM_LATE_15M,BUY_YES,veto_profundidad,11.85,4.3,3.3,2,0.0
2808768,GBM_LATE_15M,BUY_NO,ejecutada,9.57,163.36,36.58,14,244.7
2810168,GBM_LATE_15M,BUY_YES,ejecutada,7.47,57.2,14.07,12,149.0
2810167,GBM_LATE_15M,BUY_YES,veto_profundidad,8.22,94.48,36.0,9,0.0
2810240,GBM_LATE_15M,BUY_NO,ejecutada,9.9,18.73,8.55,5,416.8
2810242,GBM_LATE_15M,BUY_NO,ejecutada,9.88,14.65,5.0,5,6.3
2810244,GBM_LATE_15M,BUY_YES,veto_profundidad,7.83,177.57,50.0,25,0.0
2810272,GBM_LATE_15M,BUY_NO,ejecutada,10.48,39.28,21.08,5,341.5
2810277,GBM_LATE_15M,BUY_YES,veto_profundidad,7.7,54.72,10.43,9,0.0
2811193,GBM_LATE_15M,BUY_YES,ejecutada,1.72,26.33,4.95,8,25.3
2811190,GBM_LATE_15M,BUY_YES,ejecutada,0.67,179.61,26.91,24,133.1
2811289,GBM_LATE_15M,BUY_YES,ejecutada,4.22,124.74,80.67,12,347.6
2814580,GBM_LATE_15M,BUY_YES,veto_profundidad,11.63,110.89,19.05,20,0.0
2814584,GBM_LATE_15M,BUY_YES,veto_profundidad,11.27,9.93,5.13,2,0.0
2814589,GBM_LATE_15M,BUY_YES,veto_profundidad,10.22,260.24,66.42,20,0.0
2814720,GBM_LATE_15M,BUY_YES,veto_profundidad,11.63,30.89,9.75,9,0.0
2814722,GBM_LATE_15M,BUY_YES,ejecutada,10.98,28.95,6.75,9,247.3
2814724,GBM_LATE_15M,BUY_YES,veto_profundidad,9.57,739.33,147.37,78,0.0
2814760,GBM_LATE_15M,BUY_YES,ejecutada,8.63,13.23,5.56,3,122.4
2814763,GBM_LATE_15M,BUY_YES,ejecutada,11.12,1.0,1.0,1,230.8
2815214,GBM_LATE_15M,BUY_YES,veto_profundidad,11.93,26.8,6.25,8,0.0
2815224,GBM_LATE_15M,BUY_YES,veto_profundidad,3.13,211.48,14.55,20,0.0
2815288,GBM_LATE_15M,BUY_YES,ejecutada,11.2,49.7,30.0,7,493.4
2816978,GBM_LATE_15M,BUY_YES,ejecutada,9.3,164.38,21.6,29,197.9
2817042,GBM_LATE_15M,BUY_YES,ejecutada,6.97,176.45,24.64,39,308.1
2817047,GBM_LATE_15M,BUY_YES,ejecutada,9.52,0.0,0.0,0,343.2
2817322,GBM_LATE_15M,BUY_YES,ejecutada,5.77,113.91,18.65,15,146.8
2817325,GBM_LATE_15M,BUY_YES,ejecutada,5.32,160.57,23.36,37,53.3
2817363,GBM_LATE_15M,BUY_YES,ejecutada,1.48,157.72,24.75,27,7.2
2817371,GBM_LATE_15M,BUY_YES,veto_profundidad,11.65,146.57,16.0,31,0.0
2817367,GBM_LATE_15M,BUY_YES,veto_profundidad,9.72,0.0,0.0,0,0.0
2817629,GBM_LATE_15M,BUY_YES,ejecutada,8.75,83.25,41.34,12,155.4
2817661,GBM_LATE_15M,BUY_YES,ejecutada,9.55,3.3,2.0,3,11.5
2817738,GBM_LATE_15M,BUY_YES,veto_profundidad,5.83,332.63,42.57,24,0.0
2817742,GBM_LATE_15M,BUY_YES,veto_profundidad,5.83,352.43,30.21,26,0.0
2817746,GBM_LATE_15M,BUY_YES,veto_profundidad,5.83,1.0,1.0,1,0.0
2817797,GBM_LATE_15M,BUY_YES,ejecutada,2.12,293.66,88.24,43,15.3
2817884,GBM_LATE_15M,BUY_YES,veto_profundidad,11.77,291.97,200.0,13,0.0
2817895,GBM_LATE_15M,BUY_YES,veto_profundidad,11.77,0.0,0.0,0,0.0
2817941,GBM_LATE_15M,BUY_YES,ejecutada,9.85,3.7,2.7,2,429.5
2817937,GBM_LATE_15M,BUY_YES,veto_profundidad,10.55,58.87,10.0,13,0.0
2819133,GBM_LATE_15M,BUY_YES,veto_profundidad,11.13,5.25,5.25,1,0.0
2819137,GBM_LATE_15M,BUY_YES,ejecutada,7.27,341.79,196.26,19,73.5
2819181,GBM_LATE_15M,BUY_YES,ejecutada,11.37,33.36,13.0,8,459.0
2819233,GBM_LATE_15M,BUY_YES,ejecutada,11.13,22.85,12.26,4,91.5
2819234,GBM_LATE_15M,BUY_YES,ejecutada,11.12,55.21,14.0,9,397.4
2819392,GBM_LATE_15M,BUY_YES,ejecutada,11.03,0.0,0.0,0,1139.3
2820162,GBM_LATE_15M,BUY_YES,ejecutada,2.82,57.9,11.75,13,102.5
2820151,GBM_LATE_15M,BUY_YES,veto_profundidad,4.38,418.67,100.0,23,0.0
2820242,GBM_LATE_15M,BUY_YES,ejecutada,11.12,28.36,9.52,9,637.3
2820489,GBM_LATE_15M,BUY_YES,ejecutada,11.77,23.56,4.2,12,707.0
2820496,GBM_LATE_15M,BUY_YES,ejecutada,6.63,25.14,9.41,11,247.6
2820739,GBM_LATE_15M,BUY_YES,ejecutada,11.45,7.55,3.5,4,130.8
2820864,GBM_LATE_15M,BUY_YES,ejecutada,11.45,69.38,10.4,18,240.8
2821203,GBM_LATE_15M,BUY_YES,ejecutada,7.7,48.39,9.65,11,64.3
2824186,GBM_LATE_15M,BUY_YES,veto_profundidad,11.85,29.91,5.19,14,0.0
2824182,GBM_LATE_15M,BUY_YES,veto_profundidad,8.77,24.39,5.0,9,0.0
2824222,GBM_LATE_15M,BUY_YES,veto_profundidad,11.7,93.81,4.96,30,0.0
2824229,GBM_LATE_15M,BUY_YES,ejecutada,4.42,152.16,91.9,14,235.9
2827999,GBM_LATE_15M,BUY_YES,veto_profundidad,11.87,61.69,17.04,7,0.0
2828010,GBM_LATE_15M,BUY_YES,veto_profundidad,11.87,79.57,16.12,11,0.0
2828009,GBM_LATE_15M,BUY_YES,veto_profundidad,9.98,95.73,18.63,17,0.0
2828201,GBM_LATE_15M,BUY_YES,ejecutada,10.2,34.58,5.0,14,420.9
2828191,GBM_LATE_15M,BUY_YES,ejecutada,9.05,24.42,5.0,8,55.2
