ts_utc,market_id,strategy,direction,entry_price,stake_eur,precio_lado,precio_yes,precio_no,seg_desde_entrada,seg_hasta_fin,valor_salida_eur,pnl_salida_eur,mkt_closed
2026-07-10T14:52:02Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.545,0.545,0.455,210,478,1.3006,0.2506,0
2026-07-10T14:53:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.545,0.545,0.455,269,419,1.3006,0.2506,0
2026-07-10T14:54:02Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.545,0.545,0.455,330,358,1.3006,0.2506,0
2026-07-10T14:55:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.345,0.345,0.655,390,298,0.8233,-0.2267,0
2026-07-10T14:56:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.345,0.345,0.655,450,238,0.8233,-0.2267,0
2026-07-10T14:57:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.345,0.345,0.655,509,179,0.8233,-0.2267,0
2026-07-10T14:58:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.345,0.345,0.655,570,118,0.8233,-0.2267,0
2026-07-10T14:59:01Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.345,0.345,0.655,629,59,0.8233,-0.2267,0
2026-07-10T15:00:02Z,2859996,GBM_LATE_15M,BUY_YES,0.44,1.05,0.005,0.005,0.995,690,-2,0.0119,-1.0381,0
2026-07-10T23:20:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.505,0.505,0.495,11,598,1.0605,0.0105,0
2026-07-10T23:21:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.505,0.505,0.495,70,539,1.0605,0.0105,0
2026-07-10T23:22:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.505,0.505,0.495,130,479,1.0605,0.0105,0
2026-07-10T23:23:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.505,0.505,0.495,190,419,1.0605,0.0105,0
2026-07-10T23:24:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.505,0.505,0.495,251,358,1.0605,0.0105,0
2026-07-10T23:25:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.585,0.585,0.415,311,298,1.2285,0.1785,0
2026-07-10T23:26:02Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.585,0.585,0.415,371,238,1.2285,0.1785,0
2026-07-10T23:27:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.585,0.585,0.415,431,178,1.2285,0.1785,0
2026-07-10T23:28:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.585,0.585,0.415,490,119,1.2285,0.1785,0
2026-07-10T23:29:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.585,0.585,0.415,551,58,1.2285,0.1785,0
2026-07-10T23:30:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.655,0.655,0.345,611,-2,1.3755,0.3255,0
2026-07-10T23:31:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.655,0.655,0.345,671,-62,1.3755,0.3255,0
2026-07-10T23:32:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.655,0.655,0.345,730,-121,1.3755,0.3255,0
2026-07-10T23:33:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.655,0.655,0.345,791,-182,1.3755,0.3255,0
2026-07-10T23:34:02Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.655,0.655,0.345,851,-242,1.3755,0.3255,0
2026-07-10T23:35:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.0,0.0,1.0,911,-302,0.0,-1.05,1
2026-07-10T23:35:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.485,0.485,0.515,32,598,1.2421,0.1921,0
2026-07-10T23:36:01Z,2865056,GBM_LATE_15M,BUY_YES,0.5,1.05,0.0,0.0,1.0,971,-362,0.0,-1.05,1
2026-07-10T23:36:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.455,0.455,0.545,92,538,1.1652,0.1152,0
2026-07-10T23:37:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.455,0.455,0.545,152,478,1.1652,0.1152,0
2026-07-10T23:38:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.455,0.455,0.545,211,419,1.1652,0.1152,0
2026-07-10T23:39:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.455,0.455,0.545,272,358,1.1652,0.1152,0
2026-07-10T23:40:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.455,0.455,0.545,331,299,1.1652,0.1152,0
2026-07-10T23:41:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,392,238,1.575,0.525,0
2026-07-10T23:42:02Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,452,178,1.575,0.525,0
2026-07-10T23:43:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,511,119,1.575,0.525,0
2026-07-10T23:44:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,571,59,1.575,0.525,0
2026-07-10T23:45:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,632,-2,1.575,0.525,0
